Königin von Frankreich,
Königin von Polen,
Königin von Ungarn,
königlicher Kommissar der,
königlicher Kommissar der Zipser Kammer/Administration,
Kreishauptmann von Iglau,
kriegs­­ratspräsident,
Kronprinz,
Künstler,
Kurfürst (Bayern),
Kurfürst von Bayern und der Pfalz,
Kurfürst von Brandenburg,
Kurfürst von Hannover,
Kurfürst von Köln,
Kurfürst von Mainz,
Kurfürst von Sachsen,
Kurfürst von Trier,
Kurfürst von Trier und Mainz,
Landbaumeister aller niederösterreichischen Länder,
Landesfürstin von Tirol,
Landesfürst von Innerösterreich,
Landesfürst von Tirol,
Landeshauptmann der Steiermark,
Landeshauptmann von Kärnten,
Landeshauptmann von Krain,
Landeshauptmann von Österreich ob der Enns,
Landesherr der Niederlande,
Landesrichter,
Landesverweser der Steiermark,
Landesverweser in der Steiermark,
Landesverweser von Kärnten,
Landesverweser von Krain,
Landesvizedom,
Landesvizedom in der Steiermark,
Landesvizedom in Kärnten,
Landesvizedom in Krain,
Landesvizedom in Österreich ob der Enns,
Landesvizedom in Österreich unter der Enns,
Landhofmeister,
Landmarschall von Österreich,
Landvogt im Elsass,
latein. Sekretär der Reichshofkanzlei,
Leibarzt,
Leiter der Böhmischen Kammer,
Leiter der Geheimen Kabinetts- bzw. Ziffernkanzlei,
Leiter der Geheimen Kabinetts- bzw. Ziffernkanzlei in Wien,
Leiter der Hofjointe,
Leiter der Italienischen Hofkanzlei,
Leiter der Ministerial-Banco-Deputation,
Leiter der Ministerialdeputation,
Leiter der Niederländischen Hofkanzlei,
Leiter der Schlesischen Kammer,
Leiter der Ungarischen,
Leiter der Ungarischen Hofkanzlei,
Leiter der Ungarischen Kammer,
Leiter der Zipser Kammer/Administration,
Leiter des Ensisheimer Regiments,
Leiter des Hofkriegsrats,
Leiter des Kammerzahlamts,
Leiter des Münzkabinetts,
Leiter des Naturalienkabinetts,
Leiter des niederländischen Departements der Staatskanzlei,
Leiter des niederländischen Liquidationskomitees,
Leiter des Spanischen Staatssekretariats,
Lotterieunternehmer,
Lottogefällsdirektor,
Lotto-Hofkommissär,
Lottokommissär,
Lottopächter,
mährischer Landeshauptmann,
mährischer Rentmeister,
Mailänder Gesandter,
Maler,
Marineoffizier,
Markgrafen,
Markgraf von Baden,
Markgraf von Baden-Baden,
Mathematiker,
Merkantilist,
Militärbaumeister,
Militärdirektor für Ober- und Vorderösterreich,
Militäringenieur,
Militär- und Schuldenkassadirektor,
Minierhauptmann,
Ministerial-Banco-Deputation,
Mitglied der Rektifikationshofkommission,
Mitglied der Steuerregulierungshofkommission,
Musiker,
Musikgraf,
Muster- und Pfennigmeister,
niederösterreichischer Hofratspräsident,
niederösterreichischer Kammerprokurator,
